Day	dC	E	E to I	I	I to R	lambda	N	out of dC	par beta	par gamma	par sigma	R	S	S to E	to dC
19	13.450706684	29.1964784454	14.4497871626	21.6909657296	10.7288727763	0.0216909657296	1000	0	1	0.5	0.5	56.0478971467	893.064658678	19.1888770727	14.4497871626
20	15.8362188552	34.2359755028	16.953078461	25.7007313453	12.7176734751	0.0257007313453	1000	0	1	0.5	0.5	67.8743503862	872.188942766	22.2197325509	16.953078461
21	18.4821797749	39.7682930735	19.7049746288	30.2230364409	14.9630117402	0.0302230364409	1000	0	1	0.5	0.5	81.8342250656	848.17444542	25.4300224205	19.7049746288
22	21.3519632882	45.6936839904	22.6573497885	35.230713405	17.4524247699	0.035230713405	1000	0	1	0.5	0.5	98.1785113896	820.897091215	28.7158891293	22.6573497885
23	24.3809576514	51.8523562784	25.7322660071	40.6554559566	20.1531776767	0.0406554559566	1000	0	1	0.5	0.5	117.134726489	790.357461276	31.9368146624	25.7322660071
24	27.4734697353	58.0215179513	28.8202603978	46.3794986082	23.0080226164	0.0463794986082	1000	0	1	0.5	0.5	138.884153573	756.714829867	34.9213614873	28.8202603978
25	30.5034590412	63.9218191866	31.7832272307	52.231301757	25.9328768906	0.052231301757	1000	0	1	0.5	0.5	163.535809466	720.311069591	37.4808435615	31.7832272307
26	33.3206828061	69.2357612934	34.4632303468	57.9879666511	28.8177835348	0.0579879666511	1000	0	1	0.5	0.5	191.099827378	681.676444678	39.4306759874	34.4632303468
27	35.7629884163	73.6382007424	36.6974068524	63.3865717987	31.532281039	0.0633865717987	1000	0	1	0.5	0.5	221.464210646	641.511016813	40.616492349	36.6974068524
28	37.673943329	76.8354542668	38.337336701	68.1450632469	33.9355616784	0.0681450632469	1000	0	1	0.5	0.5	254.379662527	600.639819959	40.9395169554	38.337336701
29	38.9231084614	78.6058499827	39.2694005551	71.9909021211	35.8906035446	0.0719909021211	1000	0	1	0.5	0.5	289.456932114	559.946315782	40.374484665	39.2694005551
30	39.4247682906	78.8325437036	39.4315607091	74.6930518679	37.2801429883	0.0746930518679	1000	0	1	0.5	0.5	326.179550658	520.294853771	38.9746736491	39.4315607091
31	39.1506285142	77.5203781292	38.82237642	76.0911092034	38.0214234694	0.0760911092034	1000	0	1	0.5	0.5	363.932121837	482.456390831	36.862274454	38.82237642
32	38.1332679377	74.7925834957	37.4999937091	76.1153584314	38.0765818144	0.0761153584314	1000	0	1	0.5	0.5	402.041140546	447.050917527	34.2068935645	37.4999937091
33	36.4596251939	70.868721199	35.5716335508	74.7935023956	37.4564621325	0.0747935023956	1000	0	1	0.5	0.5	439.822621776	414.515154629	31.1983870557	35.5716335508
34	34.2565177467	66.0301514836	33.1765966053	72.2431461092	36.2172830179	0.0722431461092	1000	0	1	0.5	0.5	476.629495809	385.097206598	28.0210132227	33.1765966053
35	31.6720417374	60.5816260239	30.467057076	68.6525388072	34.4513142298	0.0686525388072	1000	0	1	0.5	0.5	511.892144849	358.87369032	24.8341330883	30.467057076
