Days	Contacts	Infected	Infectious Duration	Infectivity	IR	N	Removed	RR	Susceptible
8.875	10	4003.2036666	2	0.2	1283.66822195	10000	4393.49516656	2001.6018333	1603.30116684
9	10	3913.46196518	2	0.2	1129.30195797	10000	4643.69539572	1956.73098259	1442.8426391
9.125	10	3810.0333371	2	0.2	991.888758342	10000	4888.28676855	1905.01666855	1301.67989435
9.25	10	3695.89234833	2	0.2	870.525900491	10000	5126.41385212	1847.94617416	1177.69379956
9.375	10	3573.71481412	2	0.2	763.973072928	10000	5357.40712389	1786.85740706	1068.878062
9.5	10	3445.85427235	2	0.2	670.826110378	10000	5580.76429977	1722.92713618	973.38142788
9.625	10	3314.34164413	2	0.2	589.640047569	10000	5796.13019179	1657.17082206	889.528164083
9.75	10	3180.90029732	2	0.2	519.010425255	10000	6003.27654455	1590.45014866	815.823158137
9.875	10	3046.97033189	2	0.2	457.62255759	10000	6202.08281313	1523.48516594	750.94685498
10	10	2913.73750585	2	0.2	404.277603011	10000	6392.51845887	1456.86875292	693.744035281
10.125	10	2782.16361211	2	0.2	357.902721308	10000	6574.62705299	1391.08180605	643.209334905
10.25	10	2653.01622651	2	0.2	317.550917331	10000	6748.51227875	1326.50811326	598.471494741
10.375	10	2526.89657702	2	0.2	282.394656151	10000	6914.3257929	1263.44828851	558.777630075
10.5	10	2404.26487298	2	0.2	251.716096756	10000	7072.25682897	1202.13243649	523.478298056
10.625	10	2285.46283051	2	0.2	224.895843983	10000	7222.52338353	1142.73141526	492.013785961
10.75	10	2170.7333841	2	0.2	201.401427213	10000	7365.36481043	1085.36669205	463.901805464
10.875	10	2060.237726	2	0.2	180.776229695	10000	7501.03564694	1030.118863	438.726627062
11	10	1954.06989683	2	0.2	162.629264264	10000	7629.80050482	977.034948417	416.12959835
11.125	10	1852.26918631	2	0.2	146.625977133	10000	7751.92987337	926.134593157	395.800940317
11.25	10	1754.83060931	2	0.2	132.480127233	10000	7867.69669751	877.415304656	377.472693176
